SLR(1) SUCCESSFUL PARSE TRACE
==================================================
Step 1 | Stack: [0] | Lookahead: INT | Action: s10
Step 83 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 35] | Lookahead: LT | Action: r30
Step 84 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 35, 59] | Lookahead: LT | Action: r26
Step 85 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 31] | Lookahead: LT | Action: r25
Step 86 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 31, 47] | Lookahead: LT | Action: r22
Step 87 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 33] | Lookahead: LT | Action: s54
Step 88 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 33, 54] | Lookahead: ID | Action: r45
Step 89 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 33, 56] | Lookahead: ID | Action: s34
Step 90 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 33, 56, 34] | Lookahead: AND | Action: r32
Step 91 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 33, 56, 35] | Lookahead: AND | Action: r30
Step 92 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 33, 56, 35, 59] | Lookahead: AND | Action: r26
Step 93 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 33, 56, 31] | Lookahead: AND | Action: r25
Step 94 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 33, 56, 31, 47] | Lookahead: AND | Action: r22
Step 95 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 33, 56, 77] | Lookahead: AND | Action: r44
Step 96 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 30] | Lookahead: AND | Action: r42
Step 97 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39] | Lookahead: AND | Action: s66
Step 98 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66] | Lookahead: ID | Action: s34
Step 99 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 34] | Lookahead: NE | Action: r32
Step 100 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 35] | Lookahead: NE | Action: r30
Step 101 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 35, 59] | Lookahead: NE | Action: r26
Step 102 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 31] | Lookahead: NE | Action: r25
Step 103 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 31, 47] | Lookahead: NE | Action: r22
Step 104 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 33] | Lookahead: NE | Action: s58
Step 105 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 33, 58] | Lookahead: INT | Action: r50
Step 106 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 33, 56] | Lookahead: INT | Action: s36
Step 107 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 33, 56, 36] | Lookahead: RPAREN | Action: r33
Step 108 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 33, 56, 35] | Lookahead: RPAREN | Action: r30
Step 109 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 33, 56, 35, 59] | Lookahead: RPAREN | Action: r26
Step 110 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 33, 56, 31] | Lookahead: RPAREN | Action: r25
Step 111 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 33, 56, 31, 47] | Lookahead: RPAREN | Action: r22
Step 112 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 33, 56, 77] | Lookahead: RPAREN | Action: r44
Step 113 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 30] | Lookahead: RPAREN | Action: r42
Step 114 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 83] | Lookahead: RPAREN | Action: r40
Step 115 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 66, 83, 92] | Lookahead: RPAREN | Action: r39
Step 116 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 39, 65] | Lookahead: RPAREN | Action: r38
Step 117 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 32] | Lookahead: RPAREN | Action: r37
Step 118 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 32, 51] | Lookahead: RPAREN | Action: r35
Step 119 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29] | Lookahead: RPAREN | Action: s46
Step 120 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46] | Lookahead: LBRACE | Action: s3
Step 121 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3] | Lookahead: INT | Action: s10
Step 122 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 10] | Lookahead: ID | Action: r13
Step 123 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 5] | Lookahead: ID | Action: s19
Step 124 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 5, 19] | Lookahead: SEMI | Action: s26
Step 125 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 5, 19, 26] | Lookahead: ID | Action: r12
Step 126 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 5, 19, 28] | Lookahead: ID | Action: r10
Step 127 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 6] | Lookahead: ID | Action: r4
Step 128 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17] | Lookahead: ID | Action: s9
Step 129 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 9] | Lookahead: ASSIGN | Action: s21
Step 130 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 9, 21] | Lookahead: ID | Action: s34
Step 131 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 9, 21, 34] | Lookahead: MULT | Action: r32
Step 132 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 9, 21, 35] | Lookahead: MULT | Action: s62
Step 133 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 9, 21, 35, 62] | Lookahead: INT | Action: s36
Step 134 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 9, 21, 35, 62, 36] | Lookahead: SEMI | Action: r33
Step 135 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 9, 21, 35, 62, 80] | Lookahead: SEMI | Action: r30
Step 136 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 9, 21, 35, 62, 80, 91] | Lookahead: SEMI | Action: r27
Step 137 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 9, 21, 35, 59] | Lookahead: SEMI | Action: r26
Step 138 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 9, 21, 31] | Lookahead: SEMI | Action: r25
Step 139 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 9, 21, 31, 47] | Lookahead: SEMI | Action: r22
Step 140 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 9, 21, 41] | Lookahead: SEMI | Action: s68
Step 141 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 9, 21, 41, 68] | Lookahead: IF | Action: r16
Step 142 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 14] | Lookahead: IF | Action: r5
Step 143 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17] | Lookahead: IF | Action: s11
Step 144 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11] | Lookahead: LPAREN | Action: s22
Step 145 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22] | Lookahead: LPAREN | Action: s37
Step 146 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37] | Lookahead: ID | Action: s34
Step 147 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 34] | Lookahead: MOD | Action: r32
Step 148 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 35] | Lookahead: MOD | Action: s60
Step 149 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 35, 60] | Lookahead: INT | Action: s36
Step 150 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 35, 60, 36] | Lookahead: EQ | Action: r33
Step 151 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 35, 60, 78] | Lookahead: EQ | Action: r30
Step 152 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 35, 60, 78, 89] | Lookahead: EQ | Action: r29
Step 153 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 35, 59] | Lookahead: EQ | Action: r26
Step 154 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 31] | Lookahead: EQ | Action: r25
